Number,count
1,5
64,5
62,5
61,5
60,5
59,5
58,5
57,5
56,5
55,5
54,5
53,5
52,5
51,5
50,5
49,5
48,5
47,5
46,5
63,5
65,5
2,5
66,5
86,5
85,5
82,5
81,5
80,5
79,5
78,5
77,5
76,5
75,5
74,5
73,5
72,5
70,5
69,5
68,5
67,5
45,5
44,5
43,5
12,5
20,5
19,5
18,5
16,5
15,5
14,5
13,5
11,5
42,5
10,5
8,5
7,5
6,5
5,5
4,5
3,5
21,5
22,5
23,5
33,5
40,5
38,5
37,5
36,5
35,5
25,5
34,5
32,5
31,5
30,5
29,5
28,5
27,5
26,5
87,5
9,4
39,4
41,2
